,favorite_count,retweet_count,tweet_id
0,37772,8230,892420639486877696
1,32451,6081,892177413194625024
2,24435,4024,891815175371796480
3,41106,8386,891689552724799489
4,39314,9087,891327551943041024
5,19771,3015,891087942176911360
6,11554,1991,890971906207338496
7,63706,18286,890729118844600320
8,27157,4139,890609177319665665
9,31145,7151,890240245463175168
10,29938,7111,890006600089468928
11,27147,4823,889880888800096258
12,46920,9732,889665366129029120
13,26471,4392,889638825424826374
14,14758,2184,889531127467266049
15,24633,5207,889278779352338437
16,28422,4368,888917229776945152
17,24947,4151,888804981515575296
18,19347,3429,888554915546542081
19,21233,3386,888078426338406400
20,29471,5221,887705281597243393
21,45154,11349,887517108413886465
22,67311,17620,887473949361045505
23,32866,10113,887343120832229379
24,29839,5783,887101385971384320
25,34280,7533,886983218871902208
26,11764,3172,886736868116754432
27,21901,4327,886680331239161856
28,20671,3105,886366138128449536
29,116,4,na
30,27319,6109,886258377298292737
31,0,104,na
32,31836,6562,885984792034004992
33,35089,6234,885528931826368512
34,19947,3641,na
35,0,17989,830583314243268608
36,21381,4257,885167573385588737
37,75501,17713,884925516695965696
38,27236,5450,884876742820859904
39,23699,4550,884562886777065473
40,26361,5496,884441800177528832
41,71194,19909,na
42,19869,2892,884162662212489221
43,21365,3346,883838118432034816
44,44794,9639,883482838036860928
45,22147,3597,883360682745503744
46,36275,6473,883117826525024257
47,23376,3809,882992072327913472
48,27624,4761,882762686299353088
49,27281,5915,882627261886758912
50,43855,11257,882268100984492032
51,28631,4814,882045864507736065
52,23745,3302,881906570426281984
53,49390,10372,881666587375304705
54,124,7,na
55,48241,15507,881535971568889856
56,22559,5035,881268439486169090
57,16639,2706,880935758152028161
58,20759,3722,880872431472267264
59,27853,6102,880465790071427074
60,26375,4098,880221119067770882
61,26961,4219,880095777175076864
62,21818,3400,879862459263307776
63,301,10,na
64,22879,3093,879492035853660161
65,103320,43099,879415784908390401
66,16406,3026,879376482266632192
67,0,6632,na
68,22022,4580,879050744279834628
69,18545,2621,879008224678207491
70,18964,4015,878776084946448384
71,29545,7009,na
72,0,1252,na
73,0,6473,na
74,7561,1252,878281503754510336
75,41056,6632,878057599261745152
76,77892,18595,877736466763448320
77,0,78,876850756556607488
